MQ_KURZNAME,LÄNGE (WGS84),BREITE (WGS84)
TE151,13.35312673,52.5161646
TE151,13.35312673,52.5161646
TE152,13.31654198,52.54734541
TE152,13.31654198,52.54734541
TE153,13.31673397,52.54736412
TE158,13.42662017,52.53825763
TE158,13.42662017,52.53825763
TE158,13.42662017,52.53825763
TE160,13.44831569,52.56468844
TE160,13.44831569,52.56468844
TE161,13.44905176,52.52468009
TE161,13.44905176,52.52468009
TE161,13.44905176,52.52468009
TE162,13.44094111,52.52429788
TE162,13.44094111,52.52429788
TE165,13.44821282,52.5046356
TE165,13.44821282,52.5046356
TE168,13.3229274,52.58629742
TE168,13.3229274,52.58629742
TE169,13.31246737,52.57307371
TE169,13.31246737,52.57307371
TE174,13.38587442,52.47682214
TE174,13.38587442,52.47682214
TE175,13.38577887,52.48007294
TE175,13.38577887,52.48007294
TE178,13.45137428,52.47605237
TE178,13.45137428,52.47605237
TE179,13.45163195,52.47606628
TE179,13.45163195,52.47606628
TE180,13.39157593,52.52809909
TE180,13.39157593,52.52809909
TE181,13.39407236,52.52856521
TE181,13.39407236,52.52856521
TE182,13.40074625,52.51822458
TE182,13.40074625,52.51822458
TE183,13.40066421,52.51811645
TE183,13.40066421,52.51811645
TE184,13.4001967,52.5112039
TE184,13.4001967,52.5112039
TE184,13.4001967,52.5112039
TE185,13.40004359,52.51105832
TE185,13.40004359,52.51105832
TE185,13.40004359,52.51105832
TE189,13.49780177,52.56058538
TE189,13.49780177,52.56058538
TE191,13.26216698,52.50743811
TE191,13.26216698,52.50743811
TE192,13.26860923,52.49972987
TE192,13.26860923,52.49972987
TE196,13.57572448,52.45412319
TE196,13.57572448,52.45412319
TE197,13.57586572,52.45416683
TE197,13.57586572,52.45416683
TE201,13.42546565,52.52985745
TE201,13.42546565,52.52985745
TE202,13.43845389,52.51742982
TE202,13.43845389,52.51742982
TE206,13.27987593,52.52072021
TE208,13.56759685,52.53662504
TE208,13.56759685,52.53662504
TE209,13.25433876,52.43541924
TE209,13.25433876,52.43541924
TE211,13.26215025,52.48149435
TE212,13.26219228,52.48139442
TE213,13.35081659,52.51197936
TE213,13.35081659,52.51197936
TE213,13.35081659,52.51197936
TE222,13.37886481,52.44205735
TE223,13.35162286,52.50823119
TE223,13.35162286,52.50823119
TE223,13.35162286,52.50823119
TE228,13.47446539,52.53486254
TE228,13.47446539,52.53486254
TE229,13.27995105,52.52062324
TE230,13.22551345,52.53761039
TE232,13.27866982,52.53480606
TE232,13.27866982,52.53480606
TE232,13.27866982,52.53480606
TE238,13.43566751,52.4481454
TE241,13.35308432,52.51620131
TE244,13.32709195,52.53607321
TE244,13.32709195,52.53607321
TE244,13.32709195,52.53607321
TE245,13.3274778,52.53608776
TE245,13.3274778,52.53608776
TE245,13.3274778,52.53608776
TE248,13.55581247,52.55962242
TE248,13.55581247,52.55962242
TE248,13.55581247,52.55962242
TE249,13.5529551,52.55600776
TE249,13.5529551,52.55600776
TE249,13.5529551,52.55600776
TE250,13.31920003,52.49965256
TE256,13.42993792,52.58194883
TE256,13.42993792,52.58194883
TE256,13.42993792,52.58194883
TE257,13.49795128,52.5638381
TE258,13.497721,52.5638536
TE260,13.31697346,52.51404077
TE260,13.31697346,52.51404077
TE261,13.31721746,52.51410663
TE261,13.31721746,52.51410663
TE262,13.19102568,52.53436189
TE263,13.19084803,52.53433232
TE264,13.33104097,52.48843966
TE264,13.33104097,52.48843966
TE265,13.33090982,52.48852827
TE265,13.33090982,52.48852827
TE268,13.30407379,52.42648948
TE269,13.30412903,52.42658782
TE272,13.29530732,52.53136593
TE272,13.29530732,52.53136593
TE273,13.29557448,52.53131551
TE273,13.29557448,52.53131551
TE274,13.34321619,52.52770386
TE274,13.34321619,52.52770386
TE275,13.34333187,52.52759784
TE275,13.34333187,52.52759784
TE278,13.26089417,52.52155457
TE278,13.26089417,52.52155457
TE279,13.26067151,52.52148393
TE279,13.26067151,52.52148393
TE299,13.52250854,52.44822423
TE299,13.52250854,52.44822423
TE300,13.32933599,52.49527974
TE300,13.32933599,52.49527974
TE301,13.32806856,52.4948426
TE301,13.32806856,52.4948426
TE302,13.37653367,52.50226895
TE302,13.37653367,52.50226895
TE302,13.37653367,52.50226895
TE303,13.3696211,52.5055733
TE303,13.3696211,52.5055733
TE303,13.3696211,52.5055733
TE305,13.3554024,52.50711384
TE305,13.3554024,52.50711384
TE306,13.3733365,52.51144335
TE307,13.15663948,52.52133979
TE307,13.15663948,52.52133979
TE308,13.36999384,52.54032182
TE308,13.36999384,52.54032182
TE308,13.36999384,52.54032182
TE309,13.36906149,52.54067377
TE309,13.36906149,52.54067377
TE309,13.36906149,52.54067377
TE312,13.4786344,52.45865391
TE313,13.47857886,52.45854208
TE314,13.49658683,52.43259199
TE314,13.49658683,52.43259199
TE320,13.5122723,52.56605457
TE320,13.5122723,52.56605457
TE322,13.3117845,52.50645595
TE322,13.3117845,52.50645595
TE323,13.31156808,52.506355
TE323,13.31156808,52.506355
TE324,13.39841485,52.57724622
TE325,13.39889111,52.57310721
TE329,13.43174118,52.46693437
TE329,13.43174118,52.46693437
TE330,13.43126876,52.46747659
TE330,13.43126876,52.46747659
TE332,13.39447189,52.54012442
TE332,13.39447189,52.54012442
TE333,13.36668716,52.50426209
TE333,13.36668716,52.50426209
TE334,13.3666166,52.50401729
TE334,13.3666166,52.50401729
TE335,13.37342706,52.50331881
TE335,13.37342706,52.50331881
TE335,13.37342706,52.50331881
